REGIONID,DUID,AssetType,SiteName,Owner,TechnologyType,FuelType
 QLD1 ,,Project,Bulli Creek Battery,Genex Power Limited, Storage - Battery ,Other - Other
 QLD1 ,,Project,Bulli Creek BESS (Trina),Bulli Creek Hybrid Nominee Pty Ltd on behalf of Bulli Creek Hybrid Trust, Storage - Battery ,Other - Other
 QLD1 ,,Project,Bulli Creek Solar Farm,Genex Power Limited, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Bulli Creek Solar Farm,Genex Power Limited, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Bulli Creek Solar Farm (Trina),Bulli Creek Hybrid Nominee Pty Ltd on behalf of Bulli Creek Hybrid Trust, Solar PV - Fixed ,Solar - Solar
 QLD1 ,,Project,Bullyard Solar Farm,EnerTECH PV Australia Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Bundaberg Renewable Energy Park,Bundaberg Renewable Energy Park, Storage - Battery ,Other - Other
 QLD1 ,,Project,Bundaberg Solar Farm,Bundaberg Development Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 SA1 ,,Project,Bundey BESS and Solar Project,Genaspi Energy Group Pty Ltd, Solar PV - Fixed ,Solar - Solar
 SA1 ,,Project,Bundey BESS and Solar Project,Genaspi Energy Group Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,,Project,Bundey BESS and Solar Project,Genaspi Energy Group Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,,Project,Bundey BESS and Solar Project,Genaspi Energy Group Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,,Project,Bundy Energy Hub A (BESS),Syn-Co Global, Storage - Battery ,Other - Other
 SA1 ,,Project,Bundy Energy Hub B (BESS),SynCo Global, Storage - Battery ,Other - Other
 QLD1 ,,Project,Bungaban Wind Farm,Windlab Developments Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 SA1 ,BNGSF1,Existing Plant,Bungala One Solar Farm,Bungala One Operations Pty Ltd as trustee for the Bungala One Operations Trust, Solar PV - Single axis tracking ,Solar - Solar
 SA1 ,BNGSF2,Existing Plant,Bungala Two Solar Farm,Bungala Two Operations Pty Ltd as trustee for the Bungala Two Operations Trust, Solar PV - Single axis tracking ,Solar - Solar
 SA1 ,,Project,Bungama BESS (ARENA ),Bungama Bess Trust, Storage - Battery ,Other - Other
 SA1 ,,Project,Bungama Solar,Bungama Project (Solar) Operations Pty Ltd, Storage - Battery ,Other - Other
 SA1 ,,Project,Bungama Solar,Bungama Project (Solar) Operations Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar
 QLD1 ,,Project,Bunkers Hill Pumped Hydro,Pacific Hydro, Storage - Pumped hydro ,Hydro - Water
 QLD1 ,,Project,Bunkers Hill Wind Farm,Pacific Hydro, Wind Turbine - Onshore ,Wind - Wind
 QLD1 ,,Project,Burdekin BESS,BURDEKIN SOLAR FARM PTY LTD ATF BURDEKIN GENESIS PROJECT TRUST, Storage - Battery ,Other - Other
 QLD1 ,,Project,Burdekin Solar Farm - KCI,BURDEKIN SOLAR FARM PTY LTD ATF BURDEKIN GENESIS PROJECT TRUST, Solar PV - Single axis tracking ,Solar - Other
 NSW1 ,,Project,Burgmanns BESS,Trina Projects Holding Australia Pty Ltd., Storage - Battery ,Other - Other
 NSW1 ,,Project,Buronga BESS - Storage - KCI,BESS Clyde North Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,,Project,Burrawong Wind Farm,Windlab Development Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,,Project,Burrawong Wind Farm,Windlab Development Pty Ltd, Storage - Battery ,Other - Other
 NSW1 ,BDONGHYD,Existing Plant,Burrendong,AGL Hydro Partnership, Hydro - Dam ,Hydro - Water
 NSW1 ,,Project,Burrendong Wind Farm,ARK Energy Corporation Pty Ltd, Wind Turbine - Onshore ,Wind - Wind
 NSW1 ,BURRIN,Existing Plant,Burrinjuck,GSP Energy Pty Ltd, Hydro - Dam ,Hydro - Water
